Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Monday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,17,Evening,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Overtaking,Slight Injury,17,Evening,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the left,Serious Injury,17,Evening,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Pedestrian,Female,18-30,3,Changing lane to the right,Slight Injury,1,Night,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Overtaking,Slight Injury,1,Night,0,Medium,Low
Friday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Unknown,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,U-Turn,Driver or rider,Male,31-50,3,Overloading,Slight Injury,14,Afternoon,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Driver or rider,Female,18-30,3,Other,Slight Injury,17,Evening,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,U-Turn,na,na,na,na,No priority to vehicle,Slight Injury,17,Evening,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1.0,Going straight,Pedestrian,Male,Under 18,3,Changing lane to the right,Slight Injury,17,Evening,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1.0,U-Turn,Passenger,Male,18-30,3,Moving Backward,Serious Injury,17,Evening,0,Medium,Low
Saturday,18-30,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Turnover,na,na,na,na,Changing lane to the left,Serious Injury,14,Afternoon,0,Medium,Low
Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Going straight,Driver or rider,Male,18-30,3,No priority to pedestrian,Serious Injury,14,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2.0,Going straight,na,na,na,na,No distancing,Slight Injury,17,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2.0,Waiting to go,na,na,na,na,No priority to vehicle,Slight Injury,17,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2.0,Going straight,Driver or rider,Female,18-30,3,No distancing,Serious Injury,17,Evening,0,Medium,Low
Monday,18-30,Female,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3.0,Going straight,na,na,na,na,No distancing,Serious Injury,22,Night,1,Medium,Medium
Monday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,22,Night,1,Medium,Medium
Monday,18-30,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3.0,Going straight,na,na,na,na,Changing lane to the right,Serious Injury,22,Night,1,Medium,Medium
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3.0,Moving Backward,na,na,na,na,No priority to pedestrian,Slight Injury,22,Night,1,Medium,Medium
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Going straight,Driver or rider,Male,Under 18,3,Moving Backward,Serious Injury,8,Morning,0,Medium,Low
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Going straight,na,na,na,na,Getting off the vehicle improperly,Slight Injury,8,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Moving Backward,Driver or rider,Male,18-30,3,Overtaking,Serious Injury,15,Afternoon,0,Medium,Low
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1.0,Getting off,Passenger,Female,31-50,3,Overloading,Serious Injury,12,Afternoon,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unkown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Reversing,Passenger,Male,18-30,3,Changing lane to the right,Serious Injury,12,Afternoon,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Unknown,5-10yr,Automobile,Unknown,Unknown,Unkown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3.0,Turnover,na,na,na,na,Improper parking,Slight Injury,18,Evening,0,Medium,Medium
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3.0,Going straight,Driver or rider,Female,31-50,3,Other,Slight Injury,18,Evening,0,Medium,Medium
Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3.0,Going straight,Pedestrian,Male,Under 18,3,Changing lane to the left,Slight Injury,18,Evening,0,Medium,Medium
Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,14,Afternoon,0,Medium,Low
Tuesday,Over 51,Unknown,Junior high school,Unknown,5-10yr,Automobile,Unknown,Unknown,Unkown,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No priority to pedestrian,Slight Injury,12,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1.0,Going straight,Driver or rider,Male,18-30,2,Overspeed,Slight Injury,12,Afternoon,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1.0,Moving Backward,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Reversing,Passenger,Female,18-30,3,Changing lane to the right,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Turnover,na,na,na,na,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1.0,Going straight,Driver or rider,Female,18-30,3,No priority to pedestrian,Slight Injury,13,Afternoon,0,Medium,Low
Saturday,18-30,Male,High school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1.0,Going straight,Pedestrian,Male,Under 18,3,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Friday,18-30,Male,Above high school,Employee,1-2yr,Taxi,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,20,Evening,0,Medium,Low
Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2.0,Going straight,Driver or rider,Female,18-30,2,Other,Slight Injury,20,Evening,0,Medium,Low
Friday,Over 51,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,Unkown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,20,Evening,0,Medium,Low
Sunday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Unknown,7, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Female,18-30,3,Changing lane to the left,Slight Injury,16,Afternoon,0,Medium,Low
Sunday,31-50,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,Unkown,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,16,Afternoon,0,Medium,Low
Sunday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,5-10yrs,5, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Female,31-50,3,Changing lane to the left,Slight Injury,21,Night,0,Medium,Low
Sunday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,21,Night,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,Under 18,3,No distancing,Slight Injury,9,Morning,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,Under 18,3,Changing lane to the right,Slight Injury,9,Morning,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Serious Injury,14,Afternoon,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving at high speed,Slight Injury,10,Morning,0,Medium,Low
Friday,31-50,Male,Unknown,Employee,Below 1yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,3,No distancing,Slight Injury,10,Morning,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,Unkown,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,2,Changing lane to the left,Slight Injury,18,Evening,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,5-10yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,Over 51,3,Getting off the vehicle improperly,Slight Injury,19,Evening,0,Medium,Low
